"lakeid","lakename","year4","daynum","month","sampledate","depth_id","depth","comments","nutrient","concentration"
"L","Paul Lake",1992,162,6,1992-06-10,6,5.8,"","tn_ug",421.41
"L","Paul Lake",1992,162,6,1992-06-10,7,8,"","tn_ug",763.69
"R","Peter Lake",1992,162,6,1992-06-10,1,0,"","tn_ug",258.24
"R","Peter Lake",1992,162,6,1992-06-10,2,0.9,"","tn_ug",293.3
"R","Peter Lake",1992,162,6,1992-06-10,3,1.95,"","tn_ug",283.14
"R","Peter Lake",1992,162,6,1992-06-10,4,3.35,"","tn_ug",275.51
"R","Peter Lake",1992,162,6,1992-06-10,5,4.5,"","tn_ug",174
"R","Peter Lake",1992,162,6,1992-06-10,6,6.9,"","tn_ug",200.44
"R","Peter Lake",1992,162,6,1992-06-10,7,12,"","tn_ug",600.38
"L","Paul Lake",1992,169,6,1992-06-17,1,0,"","tn_ug",595.99
"L","Paul Lake",1992,169,6,1992-06-17,2,0.6,"","tn_ug",419.28
"L","Paul Lake",1992,169,6,1992-06-17,3,1.25,"","tn_ug",539.7
"L","Paul Lake",1992,169,6,1992-06-17,4,2.8,"","tn_ug",481.13
"L","Paul Lake",1992,169,6,1992-06-17,5,4.4,"","tn_ug",493.33
"L","Paul Lake",1992,169,6,1992-06-17,6,5.95,"","tn_ug",648.67
"L","Paul Lake",1992,169,6,1992-06-17,7,8,"","tn_ug",1777.29
"R","Peter Lake",1992,169,6,1992-06-17,1,0,"","tn_ug",581.51
"R","Peter Lake",1992,169,6,1992-06-17,2,0.75,"","tn_ug",547.89
"R","Peter Lake",1992,169,6,1992-06-17,3,1.4,"","tn_ug",502.58
"R","Peter Lake",1992,169,6,1992-06-17,4,2.35,"","tn_ug",428.02
"R","Peter Lake",1992,169,6,1992-06-17,5,2.85,"","tn_ug",415.2
"R","Peter Lake",1992,169,6,1992-06-17,6,3.6,"","tn_ug",282.43
"R","Peter Lake",1992,169,6,1992-06-17,7,12,"","tn_ug",771.12
"L","Paul Lake",1992,176,6,1992-06-24,1,0,"","tn_ug",182.91
"L","Paul Lake",1992,176,6,1992-06-24,2,0.7,"","tn_ug",297.9
"L","Paul Lake",1992,176,6,1992-06-24,3,1.45,"","tn_ug",417.67
"L","Paul Lake",1992,176,6,1992-06-24,4,2.7,"","tn_ug",319.57
"L","Paul Lake",1992,176,6,1992-06-24,5,3.6,"","tn_ug",197.89
"L","Paul Lake",1992,176,6,1992-06-24,6,5.55,"","tn_ug",280.59
"L","Paul Lake",1992,176,6,1992-06-24,7,8,"","tn_ug",1228.78
"R","Peter Lake",1992,176,6,1992-06-24,1,0,"","tn_ug",219.72
"R","Peter Lake",1992,176,6,1992-06-24,2,0.8,"","tn_ug",138.73
"R","Peter Lake",1992,176,6,1992-06-24,3,1.8,"","tn_ug",346.65
"R","Peter Lake",1992,176,6,1992-06-24,4,3.5,"","tn_ug",410.39
"R","Peter Lake",1992,176,6,1992-06-24,5,5,"","tn_ug",291.39
"R","Peter Lake",1992,176,6,1992-06-24,6,7.1,"","tn_ug",224.5
"R","Peter Lake",1992,176,6,1992-06-24,7,12,"","tn_ug",887.87
"L","Paul Lake",1992,183,7,1992-07-01,1,0,"","tn_ug",495.68
"L","Paul Lake",1992,183,7,1992-07-01,2,0.7,"","tn_ug",427.69
"L","Paul Lake",1992,183,7,1992-07-01,3,1.48,"","tn_ug",442.54
"L","Paul Lake",1992,183,7,1992-07-01,4,2.6,"","tn_ug",417.4
"L","Paul Lake",1992,183,7,1992-07-01,5,3.45,"","tn_ug",335.96
